Client Mac,Client IPv4,Client IPv6,Site Name,Site Location,Site Description,AP Name,AP Description,Device IPv4,Device IPv6,AP Mac,User Name,SSID,RSSI Strength,Data Uploaded (MB),Data Downloaded (MB),Interface,Channel,Radio ID,Uptime,Association Time,Disassociation Time,Host Name,Device Type,Device OS,Protocol,SNR,Created At,SAP ID,Group Name,apGroupName,subAPGroup1,subAPGroup2,subAPGroup3,subAPGroup4,waniaxRu26,waniaxRu52,waniaxRu106,waniaxRu242,waniaxRu484,waniaxRu996,waniaxTxmcs48,waniaxTxmcs24,waniaxTxmcs12,waniaxTxmcs6,waniaxTxmcs54,waniaxTxmcs36,waniaxTxmcs18,waniaxTxmcs9,waniaxRxmcs48,waniaxRxmcs24,waniaxRxmcs12,waniaxRxmcs6,waniaxRxmcs54,waniaxRxmcs36,waniaxRxmcs18,waniaxRxmcs9,hkRu26,hkRu52,hkRu106,hkRu242,hkRu484,hkRu996,hkTxmcs48,hkTxmcs24,hkTxmcs12,hkTxmcs6,hkTxmcs54,hkTxmcs36,hkTxmcs18,hkTxmcs9,hkRxmcs48,hkRxmcs24,hkRxmcs12,hkRxmcs6,hkRxmcs54,hkRxmcs36,hkRxmcs18,hkRxmcs9,BSSID,Total_MCS_Activity,Anomaly_Score,Is_Anomaly
58-1C-F8-46-6B-30,172.24.23.177,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-56,0.0,0.0,5GHz,112,802.11axa,03:15:56,14-05-2025 14:18:25,,DESKTOP-7HF0SJ6,Laptop_PC,Windows 10,1.3,38,14-05-2025 17:34,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,162,0,0,0,0,00:06:AE:84:F8:27,328,0.15341946232212078,True
BA-63-6A-17-44-22,172.24.21.161,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-85,0.0,0.0,5GHz,112,802.11axa,00:02:02,14-05-2025 18:22:19,,Pixel-7a,MOBILE_TABLET,Generic Android,1.3,9,14-05-2025 18:24,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,00:06:AE:84:F8:27,42,0.30223292794096257,True
7C-70-DB-2D-91-D2,172.24.16.183,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-86,0.0,0.0,5GHz,112,802.11axa,00:57:32,14-05-2025 15:36:49,,tset,Laptop_PC,Linux Ubuntu 20.04,1.3,8,14-05-2025 16:34,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00:06:AE:84:F8:27,2,0.2593644713361901,True
12-18-95-A6-D3-FD,172.24.19.241,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-85,0.0,0.0,5GHz,112,802.11axa,00:13:13,14-05-2025 16:26:08,,iPhone,MOBILE_TABLET,Apple iOS,1.3,9,14-05-2025 16:39,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,00:06:AE:84:F8:27,4,0.12791064002147345,True
1A-F2-64-F2-D0-56,172.24.19.125,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-57,0.0,0.02,5GHz,112,802.11axa,01:19:47,14-05-2025 15:24:34,,UNKNOWN,MOBILE_TABLET,Generic Android,1.3,37,14-05-2025 16:44,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,00:06:AE:84:F8:27,188,0.08176155469299029,True
12-18-95-A6-D3-FD,172.24.19.241,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-85,0.0,0.0,5GHz,112,802.11axa,00:35:56,15-05-2025 14:13:26,,iPhone,MOBILE_TABLET,Apple iOS,1.3,9,15-05-2025 14:49,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,00:06:AE:84:F8:27,6,0.11627783726863572,True
5A-EF-13-DA-D1-B7,172.24.23.32,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-57,0.1,7.45,5GHz,112,802.11axa,00:28:50,15-05-2025 14:20:32,,OPPO-K10,MOBILE_TABLET,Generic Android,1.3,37,15-05-2025 14:49,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,154,0,0,0,0,00:06:AE:84:F8:27,318,0.15481340054550985,True
DA-32-AB-F7-04-B8,172.24.21.140,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-85,0.0,0.0,5GHz,112,802.11axa,07:15:09,15-05-2025 07:39:14,,Xiaomi-Pad-6,MOBILE_TABLET,Generic Android,1.3,9,15-05-2025 14:54,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00:06:AE:84:F8:27,2,0.15754899740267347,True
5A-EF-13-DA-D1-B7,172.24.23.32,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-50,0.02,1.36,5GHz,112,802.11axa,00:33:50,15-05-2025 14:20:32,,OPPO-K10,MOBILE_TABLET,Generic Android,1.3,44,15-05-2025 14:54,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,185,0,0,0,0,00:06:AE:84:F8:27,374,0.1748141450900862,True
5A-EF-13-DA-D1-B7,172.24.23.32,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-56,0.01,0.46,5GHz,112,802.11axa,00:43:50,15-05-2025 14:20:32,,OPPO-K10,MOBILE_TABLET,Generic Android,1.3,38,15-05-2025 15:04,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,00:06:AE:84:F8:27,184,0.07147249844520898,True
8A-9F-67-72-E5-3F,172.24.18.182,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-57,0.02,0.01,5GHz,112,802.11axa,00:09:30,15-05-2025 15:04:52,,OnePlus-Nord-CE-2,MOBILE_TABLET,Generic Android,1.3,37,15-05-2025 15:14,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,00:06:AE:84:F8:27,304,0.14712917125308866,True
AE-01-A7-FD-7E-D1,172.24.21.175,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-75,8.93,0.08,5GHz,112,802.11axa,00:00:36,15-05-2025 15:23:51,,UNKNOWN,Laptop_PC,Windows 10,1.3,19,15-05-2025 15:24,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,78,0,0,0,0,00:06:AE:84:F8:27,162,0.12723412575221016,True
5A-EF-13-DA-D1-B7,172.24.23.32,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-51,0.0,0.0,5GHz,112,802.11axa,01:08:50,15-05-2025 14:20:32,,OPPO-K10,MOBILE_TABLET,Generic Android,1.3,43,15-05-2025 15:29,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,00:06:AE:84:F8:27,186,0.08208779322567383,True
9E-08-B6-05-07-69,172.24.21.3,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-84,0.0,0.0,5GHz,112,802.11axa,00:22:47,15-05-2025 09:36:34,,iPhone,MOBILE_TABLET,Apple iOS,1.3,10,15-05-2025 09:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,38,0,0,0,0,00:06:AE:84:F8:27,82,0.12712464408696178,True
36-01-05-4C-C6-38,172.24.21.114,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-87,0.0,0.0,5GHz,112,802.11axa,00:02:37,15-05-2025 09:56:45,,iPhone,MOBILE_TABLET,Apple iOS,1.3,7,15-05-2025 09:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,00:06:AE:84:F8:27,20,0.3455699698146112,True
56-AC-E3-01-F4-C5,172.24.19.189,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-85,0.0,0.0,5GHz,112,802.11axa,00:01:41,15-05-2025 09:57:11,15-05-2025 09:58:52,iPhone,MOBILE_TABLET,Apple iOS,1.3,10,15-05-2025 09:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,4,0,0,0,0,00:06:AE:84:F8:27,22,0.06426496158694739,True
56-AC-E3-01-F4-C5,172.24.19.189,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-84,0.02,0.04,5GHz,112,802.11axa,00:00:33,15-05-2025 09:58:53,,iPhone,MOBILE_TABLET,Apple iOS,1.3,10,15-05-2025 09:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,4,0,0,0,0,00:06:AE:84:F8:27,24,0.060701561816600136,True
60-E3-2B-BC-C5-5A,172.24.18.98,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-40,0.0,0.0,5GHz,112,802.11axa,00:28:58,15-05-2025 10:00:23,,rajesh,Laptop_PC,Linux Ubuntu 20.04,1.3,54,15-05-2025 10:29,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,00:06:AE:84:F8:27,28,0.07027086754984802,True
A6-36-73-35-C8-8C,172.24.19.121,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-85,0.0,0.0,5GHz,112,802.11axa,00:45:04,15-05-2025 10:49:18,,SJ,MOBILE_TABLET,Generic Android,1.3,9,15-05-2025 11:34,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00:06:AE:84:F8:27,2,0.15754899740267347,True
5A-EF-13-DA-D1-B7,172.24.23.32,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-67,0.0,0.0,5GHz,112,802.11axa,00:05:49,15-05-2025 11:38:24,15-05-2025 11:44:13,OPPO-K10,MOBILE_TABLET,Generic Android,1.3,28,15-05-2025 11:44,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,119,0,0,0,0,00:06:AE:84:F8:27,244,0.15036986849180922,True
5A-EF-13-DA-D1-B7,172.24.23.32,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-62,0.07,0.7,5GHz,112,802.11axa,00:00:09,15-05-2025 11:44:21,,OPPO-K10,MOBILE_TABLET,Generic Android,1.3,32,15-05-2025 11:44,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,136,0,0,0,0,00:06:AE:84:F8:27,278,0.16432054987700817,True
12-18-95-A6-D3-FD,172.24.19.241,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-79,0.0,0.0,5GHz,112,802.11axa,00:08:52,15-05-2025 11:45:29,,iPhone,MOBILE_TABLET,Apple iOS,1.3,15,15-05-2025 11:54,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1,0,0,0,0,00:06:AE:84:F8:27,96,0.10394705659103198,True
1C-57-DC-74-3E-17,172.24.22.24,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-86,0.0,0.0,5GHz,112,802.11axa,04:06:41,15-05-2025 08:07:40,,HFCLs-Air,Laptop_PC,Mac OS X,1.3,8,15-05-2025 12:14,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00:06:AE:84:F8:27,2,0.2593644713361901,True
70-32-17-D0-0E-4E,172.24.18.151,fd04:2418:ec0f::1,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-55,0.21,0.11,5GHz,112,802.11axa,00:56:43,15-05-2025 11:17:39,,BLR5GLAPSWARNA,Laptop_PC,Windows 10,1.3,39,15-05-2025 12:14,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,00:06:AE:84:F8:27,218,0.09006893785330639,True
5A-EF-13-DA-D1-B7,172.24.23.32,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-45,0.04,1.47,5GHz,112,802.11axa,00:07:37,15-05-2025 10:31:46,,OPPO-K10,MOBILE_TABLET,Generic Android,1.3,49,15-05-2025 10:39,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,212,0,0,0,0,00:06:AE:84:F8:27,426,0.19234658585015796,True
60-E3-2B-BC-C5-5A,172.24.18.98,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-39,0.03,0.04,5GHz,112,802.11axa,00:19:17,15-05-2025 10:35:04,,rajesh,Laptop_PC,Linux Ubuntu 20.04,1.3,55,15-05-2025 10:54,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,00:06:AE:84:F8:27,72,0.11814807541673689,True
FE-0F-61-0B-BA-06,172.24.21.77,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-85,0.0,0.0,5GHz,112,802.11axa,00:17:25,15-05-2025 10:36:57,,OnePlus-9-Pro-5G,MOBILE_TABLET,Generic Android,1.3,9,15-05-2025 10:54,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,00:06:AE:84:F8:27,6,0.11627783726863572,True
7C-70-DB-2D-91-D2,172.24.16.183,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-85,0.0,0.0,5GHz,112,802.11axa,15:53:48,14-05-2025 19:05:33,,tset,Laptop_PC,Linux Ubuntu 20.04,1.3,9,15-05-2025 10:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,00:06:AE:84:F8:27,6,0.11627783726863572,True
60-E3-2B-BC-C5-5A,172.24.18.98,,5G_R&D,BLR,,ion12xi_h2,,172.24.21.149,fe80::206:aeff:fe84:f833,00:06:ae:84:f8:33,,5G_R&D,-41,0.01,0.01,5GHz,112,802.11axa,00:24:17,15-05-2025 10:35:04,,rajesh,Laptop_PC,Linux Ubuntu 20.04,1.3,53,15-05-2025 10:59,1111,5G_R&D,5G_R&D,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,00:06:AE:84:F8:27,68,0.0809276467195933,True
